key,legacy_csv_line,ocr_file,ocr_line,old_grammar,ocr_grammar,old_sentence,ocr_sentence,status,changed_fields,audio_action,notes
第1課 - 1,5,Bunpou_p019-p025_visual.md,23,～が早いか,～が早いか,海外旅行に出発の日、山田さんは空港に着くが早いか、コンビニに駆け込んだ。,海外旅行に出発の日、山田さんは空港に着くが早いか、コンビニに駆け込んだ。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 2,6,Bunpou_p019-p025_visual.md,24,～が早いか,～が早いか,うちの子はいつも学校から帰ってきて、かばんを放り出すが早いか、遊びに行ってしまう。,うちの子はいつも学校から帰ってきて、かばんを放り出すが早いか、遊びに行ってしまう。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 3,7,Bunpou_p019-p025_visual.md,25,～が早いか,～が早いか,今朝、寝坊した夫は、朝ご飯を口に押し込むが早いか、玄関を出ていった。,今朝、寝坊した夫は、朝ご飯を口に押し込むが早いか、玄関を出ていった。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 4,8,Bunpou_p019-p025_visual.md,26,～が早いか,～が早いか,話題のその本は、店頭に並べるが早いか、飛ぶように売れていった。,話題のその本は、店頭に並べられたが早いか、飛ぶように売れていった。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第1課 - 5,9,Bunpou_p019-p025_visual.md,33,～や・～や否や,～や・～や否や,わたしはその人の顔を一目見るや、30年前に別れた恋人だと気がついた。,わたしはその人の顔を一目見るや、30年前に別れた恋人だと気がついた。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 6,10,Bunpou_p019-p025_visual.md,34,～や・～や否や,～や・～や否や,子供たちは唐揚げが大好物で、食卓に出るや、あっという間になくなってしまう。,子供たちは唐揚げが大好物で、食卓に出すや、あっという間になくなってしまう。,corrected,5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第1課 - 7,11,Bunpou_p019-p025_visual.md,35,～や・～や否や,～や・～や否や,選挙戦が始まるや否や、あちこちからにぎやかな声が聞こえてきた。,選挙戦が始まるや否や、あちこちからにぎやかな声が聞こえてきた。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 8,12,Bunpou_p019-p025_visual.md,36,～や・～や否や,～や・～や否や,この病気の新しい治療法が発表されるや否や、全国の病院から問い合わせが殺到した。,この病気の新しい治療法が発表されるや否や、全国の病院から問い合わせが殺到した。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 9,13,Bunpou_p019-p025_visual.md,43,～なり,～なり,夜はコーヒーを一口飲むなり、吐き出してしまった。,彼はコーヒーを一口飲むなり、吐き出してしまった。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第1課 - 10,14,Bunpou_p019-p025_visual.md,44,～なり,～なり,課長は部屋に入ってくるなり、大声でどなった。,課長は部屋に入ってくるなり、大声でどなった。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 11,15,Bunpou_p019-p025_visual.md,45,～なり,～なり,田中さんは携帯電話を切るなり、わたしを呼びつけた。,田中さんは携帯電話を切るなり、わたしを呼びつけた。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 12,16,Bunpou_p019-p025_visual.md,68,～そばから,～そばから,毎日返事を書くそばから新しいメールが来る。,毎日返事を書くそばから、次々に新しいメールが来る。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第1課 - 13,17,Bunpou_p019-p025_visual.md,69,～そばから,～そばから,このテキストは漢字が多くて大変だ。調べたそばから新しい漢字が出てくる。,このテキストは漢字が多くて大変だ。調べたそばから新しい漢字が出てくる。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 14,18,Bunpou_p019-p025_visual.md,70,～そばから,～そばから,月末になると、払ったそばからまた別の請求書が来る。,月末になると、払ったそばからまた別の請求書が来る。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 15,19,Bunpou_p019-p025_visual.md,77,～てからというもの(は),～てからというもの(は),娘が大学に入り家を出ていってからというもの、家の中が寂しくなった。,娘が大学に入り家を出ていってからというもの、家の中が寂しくなった。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 16,20,Bunpou_p019-p025_visual.md,78,～てからというもの(は),～てからというもの(は),子供が生まれてからというものは、子供のおもちゃばかり見て歩いています。,子供が生まれてからというものは、子供のおもちゃばかり見て歩いています。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 17,21,Bunpou_p019-p025_visual.md,79,～てからというもの(は),～てからというもの(は),日本に来てからというもの、国の家族のことを思わない日はない。,日本に来てからというもの、国の家族のことを思わない日はない。,corrected,2;5;9;10;12;16;19-opening,keep,
第1課 - 18,22,Bunpou_p019-p025_visual.md,86,～にあって,～にあって,暮らしては乾燥地にあって、ここに外装を蓄えることによって生き延びているのである。,らくだは乾燥地にあって、こぶに栄養を蓄えることによって生き延びているのである。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第1課 - 19,23,Bunpou_p019-p025_visual.md,87,～にあって,～にあって,明治時代の初め、日本はまさに発展途上期にあって、みな生き生きとしていた。,明治時代の初め、日本はまさに発展途上期にあって、みな生き生きとしていた。,corrected,9;10;12;16,keep,
第1課 - 20,24,Bunpou_p019-p025_visual.md,88,～にあって,～にあって,最近の不況下にあっても、この会社製品は売れ行きが落ちていない。,最近の不況下にあっても、この会社の製品は売れ行きが落ちていない。,corrected,2;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 1,25,Bunpou_p019-p025_visual.md,223,～を皮切りにして・～を皮切りとして,～を皮切りに（して）・～を皮切りとして,この作家は自分の父親の書いた小説を皮切りに、次々に話題作を発表している。,この作家は自分の父親のことを書いた小説を皮切りに、次々に話題作を発表している。,corrected,2;3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
第2課 - 2,26,Bunpou_p019-p025_visual.md,224,～を皮切りにして・～を皮切りとして,～を皮切りに（して）・～を皮切りとして,わたしたちのバンドは来月3日の東京公演を皮切りに、全国ツアーを予定しています。,わたしたちのバンドは来月3日の東京公演を皮切りにして、全国ツアーを予定しています。,corrected,3;5;9;10;12;16;19-opening,review_or_rerecord,translation and generated analysis require review
